path,heading,longitude,latitude,quarternion0,quarternion1,quarternion2,quarternion3,vel0,vel1,vel2,acc0,acc1,acc2,steering,throttle,brake
IMG/15395510-1490999278426810.jpeg,0.000000,0.00000000000000000000,0.00000000000000000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
IMG/15395510-1490999278493180.jpeg,0.000000,-2.13520764662449646920,0.69005566479206648101,-0.005517,0.015442,-0.158427,-0.987234,0.001961,0.020348,0.010102,0.000000,0.000000,0.000000,0.043633,0.048828,0.018311
IMG/15395510-1490999278559608.jpeg,0.000000,-2.13520764662449646920,0.69005566479206648101,-0.005527,0.015443,-0.158441,-0.987232,0.002141,0.021032,0.013345,0.000000,0.000000,0.000000,0.040143,0.047302,0.018311
IMG/15395510-1490999278626367.jpeg,0.000000,-2.13520764662449646920,0.69005566479206648101,-0.005593,0.015422,-0.158476,-0.987227,0.001157,0.019248,0.008533,0.000000,0.000000,0.000000,0.041888,0.053406,0.018311
IMG/15395510-1490999278693029.jpeg,0.000000,-2.13520764662449646920,0.69005566479206648101,-0.005554,0.015404,-0.158523,-0.987219,0.001074,0.019676,0.008989,0.000000,0.000000,0.000000,0.041888,0.039673,0.018311
IMG/15395510-1490999278759509.jpeg,0.000000,-2.13520764662449646920,0.69005566479206648101,-0.005547,0.015440,-0.158557,-0.987213,0.001596,0.020392,0.011117,0.000000,0.000000,0.000000,0.041888,0.051880,0.018311
IMG/15395510-1490999278826288.jpeg,0.000000,-2.13520764662449646920,0.69005566479206648101,-0.005542,0.015438,-0.158583,-0.987209,0.002477,0.021222,0.017937,0.000000,0.000000,0.000000,0.041888,0.051880,0.018311
IMG/15395510-1490999278892438.jpeg,0.000000,-2.13520764662449646920,0.69005566479206648101,-0.005566,0.015448,-0.158575,-0.987210,0.002632,0.018047,0.007350,0.000000,0.000000,0.000000,0.043633,0.048828,0.018311
IMG/15395510-1490999278959428.jpeg,0.000000,-2.13520764662449646920,0.69005566479206648101,-0.005582,0.015468,-0.158584,-0.987209,0.002899,0.017735,0.006855,0.000000,0.000000,0.000000,0.041888,0.042725,0.018311
IMG/15395510-1490999279025607.jpeg,0.000000,-2.13520764662449646920,0.69005566479206648101,-0.005579,0.015440,-0.158603,-0.987206,0.003242,0.019479,0.012010,0.000000,0.000000,0.000000,0.041888,0.047302,0.018311
IMG/15395510-1490999279092305.jpeg,0.000000,-2.13520764662449646920,0.69005566479206648101,-0.005525,0.015408,-0.158632,-0.987202,0.003698,0.019658,0.014590,0.000000,0.000000,0.000000,0.043633,0.051880,0.018311
IMG/15395510-1490999279159262.jpeg,0.000000,-2.13520764662449646920,0.69005566479206648101,-0.005534,0.015384,-0.158660,-0.987198,0.003943,0.017795,0.006599,0.000000,0.000000,0.000000,0.041888,0.051880,0.018311
IMG/15395510-1490999279225777.jpeg,0.000000,-2.13520764662449646920,0.69005566479206648101,-0.005516,0.015319,-0.158690,-0.987194,0.004314,0.018193,0.009235,0.000000,0.000000,0.000000,0.043633,0.041199,0.018311
