,frame,steering,throttle,brake,speed,position,rotation
0,IMG/center_2017_03_21_08_18_10_228.jpg,-0.02743109,0.7481428000000001,0.0,41.74389,1247.66:784.677:28.25019,356.1328:169.882:1.604808
1,IMG/center_2017_03_21_08_18_10_294.jpg,-0.02743109,0.7481428000000001,0.0,42.017990000000005,1247.865:783.5715:28.28732,355.9789:169.5896:1.610125
2,IMG/center_2017_03_21_08_18_10_361.jpg,-0.02743109,0.7481428000000001,0.0,42.397220000000004,1248.151:782.088:28.34101,355.8317:169.1948:1.626352
3,IMG/center_2017_03_21_08_18_10_433.jpg,-0.02743109,0.7481428000000001,0.0,42.670159999999996,1248.373:780.9683:28.38375,355.7808:168.8979:1.653577
4,IMG/center_2017_03_21_08_18_10_502.jpg,-0.02743109,0.7481428000000001,0.0,43.04417,1248.68:779.4662:28.44205,355.7515:168.5041:1.715078
5,IMG/center_2017_03_21_08_18_10_570.jpg,-0.00529738,0.7441565,0.0,43.311009999999996,1248.919:778.3327:28.48605,355.7646:168.2251:1.754198
6,IMG/center_2017_03_21_08_18_10_644.jpg,0.0,0.7441565,0.0,43.66209,1249.245:776.8118:28.54416,355.8076:167.9231:1.806013
7,IMG/center_2017_03_21_08_18_10_711.jpg,0.0,0.7441565,0.0,43.9318,1249.496:775.6638:28.58708,355.8512:167.7499:1.818471
8,IMG/center_2017_03_21_08_18_10_787.jpg,0.0,0.7441565,0.0,44.29373,1249.837:774.123:28.64313,355.9065:167.5637:1.818418
9,IMG/center_2017_03_21_08_18_10_859.jpg,0.0,0.7441565,0.0,44.64243,1250.184:772.5707:28.69753,355.978:167.424:1.81801
10,IMG/center_2017_03_21_08_18_10_927.jpg,0.0,0.7441565,0.0,44.90202,1250.449:771.399:28.73693,356.0565:167.3392:1.83535
11,IMG/center_2017_03_21_08_18_10_997.jpg,0.0,0.7441565,0.0,45.2544,1250.806:769.8267:28.78546,356.2422:167.2507:1.872237
12,IMG/center_2017_03_21_08_18_11_070.jpg,0.0,0.7441565,0.0,45.5279,1251.078:768.6396:28.81818,356.4419:167.1986:1.909441
13,IMG/center_2017_03_21_08_18_11_137.jpg,0.0,0.7441565,0.0,45.89676,1251.444:767.046:28.85526,356.7157:167.1455:1.944786
14,IMG/center_2017_03_21_08_18_11_204.jpg,-0.04221068,0.7441565,0.0,46.1729,1251.722:765.8426:28.8784,356.897:167.0855:1.93547
15,IMG/center_2017_03_21_08_18_11_272.jpg,-0.05324185,0.7441565,0.0,46.45064,1252.007:764.6326:28.89879,357.0098:166.925:1.887925
16,IMG/center_2017_03_21_08_18_11_343.jpg,-0.05324185,0.7441565,0.0,46.825759999999995,1252.4:763.0099:28.92402,357.0409:166.5748:1.811355
17,IMG/center_2017_03_21_08_18_11_413.jpg,-0.05324185,0.7441565,0.0,47.10305,1252.704:761.7864:28.94394,356.9799:166.2293:1.750953
18,IMG/center_2017_03_21_08_18_11_481.jpg,-0.05324185,0.7441565,0.0,47.45304,1253.126:760.1473:28.97427,356.8183:165.6802:1.672355
19,IMG/center_2017_03_21_08_18_11_554.jpg,-0.05324185,0.7441565,0.0,47.72915,1253.457:758.9129:29.00159,356.6515:165.2161:1.613395
20,IMG/center_2017_03_21_08_18_11_625.jpg,-0.05324185,0.7441565,0.0,48.06009,1253.915:757.2611:29.04476,356.397:164.5424:1.542509
